THE PATH -- plan handplan, run 0, 786 landings
    91  PUMPKIN ROWS        8  PUMPKIN ROWS      drills     -         48   51.0   3.0   ( -23,  50,  21)   hay         /full   hop      3.82  +0.0   40.86
    92  PUMPKIN ROWS        8  PUMPKIN ROWS      drills     -         48   51.0   3.0   ( -25,  50,  19)   magma       /full   walk     1.87  +0.0   41.19
    93  PUMPKIN ROWS        8  PUMPKIN ROWS      drills     -         48   52.0   4.0   ( -28,  51,  17)   pumpkin     /full   hop      3.10  +1.0   41.63
    94  PUMPKIN ROWS        8  PUMPKIN ROWS      drills     -         48   51.0   3.0   ( -29,  50,  14)   oak         /full   hop      3.12  -1.0   42.07
    95  PUMPKIN ROWS        8  PUMPKIN ROWS      ascent     design    48   51.0   3.0   ( -31,  50,  11)   magma       /full   hop      3.49  +0.0   42.56
    96  PUMPKIN ROWS        8  PUMPKIN ROWS      ascent     design    48   51.0   3.0   ( -31,  50,   8)   oak         /full   walk     2.32  +0.0   42.97
    97  PUMPKIN ROWS        8  PUMPKIN ROWS      ascent     design    48   52.0   4.0   ( -32,  51,   5)   hay         /full   hop      3.09  +1.0   43.41
    98  PUMPKIN ROWS        8  PUMPKIN ROWS      ascent     design    48   53.0   5.0   ( -33,  52,   2)   magma       /full   hop      3.04  +1.0   43.84
    99  THE GROVE           9  PUMPKIN ROWS      ascent     crossi    52   52.0   0.0   ( -34,  51,  -1)   warpednylium/floor  hop      3.04  -1.0   44.27
   100  THE GROVE           9  THE GROVE         crack      -         52   53.0   1.0   ( -33,  52,  -4)   glowstone   /full   hop      3.04  +1.0   44.70
   101  THE GROVE           9  THE GROVE         crack      -         52   54.0   2.0   ( -32,  53,  -7)   blackstone  /full   hop      3.04  +1.0   45.12
   102  THE GROVE           9  THE GROVE         crack      -         52   54.0   2.0   ( -32,  53, -10)   soulsand    /full   walk     2.32  +0.0   45.54
   103  THE GROVE           9  THE GROVE         crack      -         52   55.0   3.0   ( -30,  54, -13)   rawgold     /full   hop      3.10  +1.0   45.97
   104  THE GROVE           9  THE GROVE         crack      -         52   56.0   4.0   ( -29,  55, -16)   warped      /full   hop      3.10  +1.0   46.41
   105  THE GROVE           9  THE GROVE         crack      -         52   55.0   3.0   ( -27,  54, -20)   gold        /full   hop      4.35  -1.0   47.02
   106  THE GROVE           9  THE GROVE         landmark   -         52   55.0   3.0   ( -24,  54, -23)   blackstone  /full   hop      4.12  +0.0   47.60
   107  THE GROVE           9  THE GROVE         spill      -         52   56.0   4.0   ( -22,  55, -25)   rawgold     /full   hop      2.71  +1.0   47.98
   108  THE GROVE           9  THE GROVE         spill      -         52   56.0   4.0   ( -20,  55, -26)   soulsand    /full   walk     1.48  +0.0   48.25
   109  THE GROVE           9  THE GROVE         spill      -         52   56.0   4.0   ( -18,  55, -27)   soulsand    /full   walk     1.48  +0.0   48.51
   110  THE GROVE           9  THE GROVE         spill      -         52   57.0   5.0   ( -15,  56, -28)   gold        /full   hop      3.10  +1.0   48.95
   111  THE GROVE           9  THE GROVE         thicket    -         52   58.0   6.0   ( -12,  57, -29)   warped      /full   hop      3.04  +1.0   49.38
   112  THE GROVE           9  THE GROVE         thicket    -         52   58.0   6.0   ( -10,  57, -30)   soulsand    /full   walk     1.48  +0.0   49.64
   113  THE GROVE           9  THE GROVE         thicket    -         52   59.0   7.0   (  -7,  58, -31)   rawgold     /full   hop      3.10  +1.0   50.07
   114  THE GROVE           9  THE GROVE         thicket    -         52   58.0   6.0   (  -3,  57, -32)   gold        /full   hop      4.00  -1.0   50.64
   115  THE GROVE           9  THE GROVE         thicket    -         52   58.0   6.0   (   0,  57, -31)   warped      /full   hop      3.04  +0.0   51.07
   116  THE GROVE           9  THE GROVE         ascent     design    52   58.0   6.0   (   4,  57, -31)   glowstone   /full   hop      3.88  +0.0   51.61
   117  THE GROVE           9  THE GROVE         ascent     design    52   59.0   7.0   (   7,  58, -30)   gold        /full   hop      3.04  +1.0   52.04
   118  THE GROVE           9  THE GROVE         ascent     design    52   60.0   8.0   (  10,  59, -30)   warped      /full   hop      2.88  +1.0   52.45
   119  THE GROVE           9  THE GROVE         ascent     design    52   61.0   9.0   (  13,  60, -29)   glowstone   /full   hop      3.04  +1.0   52.88
   120  DUST DEVILS        10  THE GROVE         ascent     crossi    60   60.0   0.0   (  17,  59, -27)   redsand     /floor  hop      4.35  -1.0   53.49
   121  DUST DEVILS        10  DUST DEVILS       capstone   -         60   61.0   1.0   (  19,  60, -25)   lantern     /full   hop      2.71  +1.0   53.87
   122  DUST DEVILS        10  DUST DEVILS       capstone   -         60   61.0   1.0   (  22,  60, -24)   terra_white /full   hop      2.45  +0.0   54.21
   123  DUST DEVILS        10  DUST DEVILS       slot       -         60   62.0   2.0   (  23,  61, -21)   terra_yellow/full   hop      3.07  +1.0   54.65
   124  DUST DEVILS        10  DUST DEVILS       slot       -         60   62.0   2.0   (  25,  61, -19)   terra_white /full   walk     1.87  +0.0   54.98
   125  DUST DEVILS        10  DUST DEVILS       slot       -         60   63.0   3.0   (  27,  62, -16)   terra_orange/full   hop      3.10  +1.0   55.42
   126  DUST DEVILS        10  DUST DEVILS       slot       -         60   63.5   3.5   (  28,  63, -13)   terra_yellow/slab   hop      3.14  +0.5   55.86
   127  DUST DEVILS        10  DUST DEVILS       slot       -         60   62.0   2.0   (  30,  61,  -9)   terra_red   /full   hop      4.35  -1.5   56.47
   128  DUST DEVILS        10  DUST DEVILS       field      -         60   63.0   3.0   (  31,  62,  -6)   terra_white /full   hop      3.04  +1.0   56.90
   129  DUST DEVILS        10  DUST DEVILS       field      -         60   64.0   4.0   (  32,  63,  -3)   terra_red   /full   hop      3.04  +1.0   57.33
   130  DUST DEVILS        10  DUST DEVILS       field      -         60   65.0   5.0   (  31,  64,   0)   terra_yellow/full   hop      3.04  +1.0   57.76
   131  DUST DEVILS        10  DUST DEVILS       field      -         60   65.0   5.0   (  31,  64,   3)   terra_white /full   walk     2.32  +0.0   58.17
   132  DUST DEVILS        10  DUST DEVILS       windgap    -         60   65.0   5.0   (  30,  64,   6)   terra_orange/full   hop      3.37  +0.0   58.64
   133  DUST DEVILS        10  DUST DEVILS       windgap    -         60   65.0   5.0   (  30,  64,   9)   terra_white /full   walk     2.32  +0.0   59.06
   134  DUST DEVILS        10  DUST DEVILS       windgap    -         60   64.0   4.0   (  28,  63,  13)   terra_yellow/full   hop      4.66  -1.0   59.71
   135  DUST DEVILS        10  DUST DEVILS       windgap    -         60   65.0   5.0   (  26,  64,  15)   terra_red   /full   hop      2.71  +1.0   60.10
   136  DUST DEVILS        10  DUST DEVILS       ascent     design    60   65.0   5.0   (  25,  64,  18)   terra_orange/full   hop      2.45  +0.0   60.44
   137  DUST DEVILS        10  DUST DEVILS       ascent     design    60   66.0   6.0   (  23,  65,  20)   terra_yellow/full   hop      3.03  +1.0   60.87
   138  DUST DEVILS        10  DUST DEVILS       ascent     approa    60   66.0   6.0   (  21,  65,  22)   terra_red   /full   hop      2.71  +0.0   61.25
   139  DUST DEVILS        10  DUST DEVILS       ascent     approa    60   66.0   6.0   (  19,  65,  24)   terra_red   /full   hop      2.71  +0.0   61.63
   140  DUST DEVILS        10  DUST DEVILS       ascent     stair     60   67.0   7.0   (  18,  66,  26)   terra_white /full   hop      2.12  +1.0   61.93
   141  THE SEA GATE       11  DUST DEVILS       ascent     stair     67   68.0   1.0   (  15,  67,  26)   terra_yellow/full   hop      2.88  +1.0   62.33
   142  THE SEA GATE       11  THE SEA GATE      sill       -         67   68.0   1.0   (  12,  67,  27)   sealantern  /full   hop      3.04  +0.0   62.76
   143  THE SEA GATE       11  THE SEA GATE      sill       -         67   69.0   2.0   (   9,  68,  28)   darkprismari/full   hop      3.04  +1.0   63.19
   144  THE SEA GATE       11  THE SEA GATE      sill       -         67   69.0   2.0   (   7,  68,  29)   gold        /full   walk     1.48  +0.0   63.45
   145  THE SEA GATE       11  THE SEA GATE      sill       -         67   70.0   3.0   (   4,  69,  30)   prismarine  /full   hop      3.10  +1.0   63.89
   146  THE SEA GATE       11  THE SEA GATE      sill       -         67   71.0   4.0   (   1,  70,  30)   prismarine  /full   hop      2.88  +1.0   64.30
   147  THE SEA GATE       11  THE SEA GATE      sill       -         67   69.0   2.0   (  -4,  68,  32)   sand        /full   hop      5.27  -2.0   65.04
   148  THE SEA GATE       11  THE SEA GATE      sill       -         67   70.0   3.0   (  -7,  69,  30)   copper      /full   hop      3.10  +1.0   65.47
   149  THE SEA GATE       11  THE SEA GATE      basin      -         67   69.0   2.0   ( -10,  68,  29)   darkprismari/full   hop      3.14  -1.0   65.92
   150  THE SEA GATE       11  THE SEA GATE      basin      -         67   69.5   2.5   ( -12,  69,  28)   prismarine  /slab   walk     1.48  +0.5   66.19
   151  THE SEA GATE       11  THE SEA GATE      basin      -         67   70.0   3.0   ( -16,  69,  28)   gold        /full   hop      3.78  +0.5   66.73
   152  THE SEA GATE       11  THE SEA GATE      basin      -         67   71.0   4.0   ( -18,  70,  25)   darkprismari/full   hop      3.10  +1.0   67.16
   153  THE SEA GATE       11  THE SEA GATE      causeway   -         67   70.0   3.0   ( -21,  69,  23)   darkprismari/full   hop      3.58  -1.0   67.67
   154  THE SEA GATE       11  THE SEA GATE      causeway   -         67   71.0   4.0   ( -24,  70,  21)   gold        /full   hop      3.10  +1.0   68.10
   155  THE SEA GATE       11  THE SEA GATE      causeway   -         67   71.0   4.0   ( -26,  70,  19)   copper      /full   walk     1.87  +0.0   68.43
   156  THE SEA GATE       11  THE SEA GATE      moorings   -         67   71.0   4.0   ( -27,  70,  16)   darkprismari/full   hop      3.48  +0.0   68.93
   157  THE SEA GATE       11  THE SEA GATE      moorings   -         67   71.0   4.0   ( -28,  70,  14)   prismarine  /full   walk     1.48  +0.0   69.19
   158  THE SEA GATE       11  THE SEA GATE      moorings   -         67   71.0   4.0   ( -30,  70,  11)   darkprismari/full   hop      3.86  +0.0   69.73
   159  THE SEA GATE       11  THE SEA GATE      ascent     design    67   71.0   4.0   ( -30,  70,   8)   prismarine  /full   hop      2.88  +0.0   70.14
   160  THE SEA GATE       11  THE SEA GATE      ascent     design    67   72.0   5.0   ( -31,  71,   5)   sealantern  /full   hop      3.04  +1.0   70.57
   161  THE CORNICE        12  THE SEA GATE      ascent     crossi    72   72.0   0.0   ( -31,  71,   0)   snow        /floor  hop      4.26  +0.0   71.17
   162  THE CORNICE        12  THE CORNICE       crown      -         72   73.0   1.0   ( -32,  72,  -3)   lantern     /full   hop      3.09  +1.0   71.60
   163  THE CORNICE        12  THE CORNICE       crown      -         72   74.0   2.0   ( -32,  73,  -6)   deepslate   /full   hop      2.88  +1.0   72.01
   164  THE CORNICE        12  THE CORNICE       crown      -         72   74.0   2.0   ( -31,  73,  -8)   frost       /full   walk     1.48  +0.0   72.27
   165  THE CORNICE        12  THE CORNICE       crown      -         72   75.0   3.0   ( -30,  74, -12)   packedice   /ice    slide    4.36  +1.0   72.71
   166  THE CORNICE        12  THE CORNICE       landmark   -         72   75.0   3.0   ( -31,  74, -16)   deepslate   /full   hop      4.00  +0.0   73.27
   167  THE CORNICE        12  THE CORNICE       landmark   -         72   75.0   3.0   ( -29,  74, -19)   frost       /full   hop      3.49  +0.0   73.76
   168  THE CORNICE        12  THE CORNICE       landmark   -         72   75.0   3.0   ( -27,  74, -22)   deepslate   /full   hop      3.49  +0.0   74.25
   169  THE CORNICE        12  THE CORNICE       glaze      -         72   76.0   4.0   ( -24,  75, -23)   frost       /full   hop      3.04  +1.0   74.68
   170  THE CORNICE        12  THE CORNICE       glaze      -         72   76.0   4.0   ( -20,  75, -26)   blueice     /ice    slide    4.88  +0.0   75.17
   171  THE CORNICE        12  THE CORNICE       glaze      -         72   76.0   4.0   ( -18,  75, -28)   deepslate   /full   walk     1.87  +0.0   75.50
   172  THE CORNICE        12  THE CORNICE       glaze      -         72   77.0   5.0   ( -15,  76, -30)   frost       /full   hop      3.10  +1.0   75.94
   173  THE CORNICE        12  THE CORNICE       glaze      -         72   75.0   3.0   ( -11,  74, -32)   snow        /full   hop      4.45  -2.0   76.56
   174  THE CORNICE        12  THE CORNICE       crack      -         72   76.0   4.0   (  -8,  75, -32)   frost       /full   hop      2.88  +1.0   76.97
   175  THE CORNICE        12  THE CORNICE       crack      -         72   74.0   2.0   (  -4,  73, -33)   snow        /full   hop      4.00  -2.0   77.53
   176  THE CORNICE        12  THE CORNICE       crack      -         72   75.0   3.0   (   0,  74, -33)   packedice   /ice    slide    3.88  +1.0   77.92
   177  THE CORNICE        12  THE CORNICE       ascent     design    72   75.0   3.0   (   3,  74, -33)   lantern     /full   hop      2.88  +0.0   78.33
   178  THE CORNICE        12  THE CORNICE       ascent     design    72   76.0   4.0   (   6,  75, -32)   frost       /full   hop      3.04  +1.0   78.76
   179  THE CORNICE        12  THE CORNICE       ascent     design    72   76.0   4.0   (  10,  75, -32)   packedice   /ice    slide    3.88  +0.0   79.14
   180  THE CORNICE        12  THE CORNICE       ascent     design    72   77.0   5.0   (  13,  76, -30)   deepslate   /full   hop      3.10  +1.0   79.58
   181  THE CORNICE        12  THE CORNICE       ascent     design    72   78.0   6.0   (  15,  77, -32)   packedice   /ice    slide    2.73  +1.0   79.85
   182  WART FIELDS        13  THE CORNICE       ascent     design    78   79.0   1.0   (  17,  78, -29)   lantern     /full   hop      3.10  +1.0   80.29
   183  WART FIELDS        13  WART FIELDS       gate       -         78   79.0   1.0   (  20,  78, -27)   shroomlight /full   hop      3.58  +0.0   80.79
   184  WART FIELDS        13  WART FIELDS       gate       -         78   80.0   2.0   (  23,  79, -25)   soulsand    /full   hop      3.10  +1.0   81.23
   185  WART FIELDS        13  WART FIELDS       rows       -         78   81.0   3.0   (  25,  80, -22)   wartblock   /full   hop      3.10  +1.0   81.67
   186  WART FIELDS        13  WART FIELDS       rows       -         78   81.0   3.0   (  27,  80, -19)   soulsand    /full   hop      3.58  +0.0   82.17
